微博内容,统一后的评论,点赞数
"安利大家来武汉玩打 萝卜快跑无人驾驶
安静 干净 无异味 能自选歌曲 调节空调 还有按摩
比快车还便宜点 真的很难拒绝

（记得帮萝卜把门关上 不然会停在路边反复播放“请帮萝卜关关门吧”） 2武汉","BLANKJJJ ：最主要不会碰到司乘纠纷
测测君test：咋样现在这个车 行驶起来顺畅不？
豆耳朵___ ：这是广告贴吗
EasonZES ：上周才去完武汉，感觉好的酒店太少
隔壁老白的微博 ：然而只有郊区才有
handsome小新来了 ：主驾能做吗
浅浅晓月：鹏鹏车咋不开。。
张不困觉 ：上次傻缺萝卜在庙山路中间停下来放人下车，我在后面急死了
对方不想理你并踹了你一jio ：可是汉阳很少啊",1
萝卜快跑无人出租车的底层逻辑，你以为它真的是为了和出租车抢生意吗，了解一下… L涨涨有好股的微博,"BOSS村长有点帅：击鼓传花，鼓停祸至，最后上市坑的都是散户
瀛寰孤客 ：资本运作的同时也是会抢到出租车司机们都饭碗。
去个求巴 ：击鼓传花，鼓停祸至
无声的蓝风铃 ：所以人不要投机取巧，很容易陷进去…日本黑道就是救国
肚皮甩上天 ：就跟现在的美团淘宝买菜差不多的模式，先是惨无人道的降价和强调便捷优势，等市场垄断，你们没得选择了，然后就是他收割的时候。他们以极限的价从生产方收购，然后以高价卖给各大韭菜们，远的不说，就以西瓜为例，外面卖的西瓜几块钱一个或者几毛钱一斤，但是各种电商超市却要三五十，就是这个道理
wsxq000：不也是抢了出租车的生意吗？就是大吞掉小，然后垄断盈利，资本过后，没有人能逃避
骑着乖驴走世界 ：最后跑路，继续留下一地鸡毛！看看萝卜背后的十大股东，查查都是哪个国家的，会有惊喜
Python攻城狮 ：最后韭菜承担了一切
韦一卓 ：资本主义",1
出发咯第一次打到萝卜快跑无人驾驶hhh好有意思,"贪猪浸猪笼 ：单依纯同款 image
iwannagetyoubak ：omg好高级
剑已封鞘2333 ：
用户1004142403 ：去新加坡
Dieforme- ：哈哈哈哈嘎扇
擅长料理美少年 ：",1
网约车 无人驾驶无人驾驶的网约车，萝卜快跑，感觉还可以，挺智能的，听说百度萝卜快跑已经在武汉盈利了，这样的车你敢坐吗？照这情况下去驾驶员早晚得失业热门‖百度 萝卜快跑 L历史这些事啊的微博,"PB老司机 ：它车上会配备司机吗？还是完全没有驾驶员
出家人乃唐僧 ：无人车，未来已来，期待。
无痕先森sup ：有个想法，既然都是无人驾驶了，那是不是司机座也不需要了，以后前排也3个座位，6个座位都用来坐人
来过方知人间疾苦 ：年轻人的第一台移动公寓，或者p房
李晓云的新家 ：要是碰到鬼探头它能反应过来吗？
JHOUO ：为什么还有驾驶室和方向盘 跟我想的无人驾驶车完全不一样
嗜睡的椰果 ：不敢坐，我惜命
暖脸的阿衰 ：有个问题，下雨天雨刮器开吗，除雾开吗
沧砉 ：我有一辆网约，我想问问，我在家睡觉它在外面帮我赚钱",1
这两天家里有事，请假去了一趟武汉。拍到了武汉的日落大道，感觉还不错。现在武汉有很多萝卜快跑无人驾驶出租车，和半年前比起来，明显进化了很多。会主动加速，加塞，卡位，明显是被武汉人民调教出来了。我试着别了萝卜快跑一下，它会微微减速然后伺机卡进来，感觉很快它就会学会汉味ai语音广播骂人了,"橘子糖1103 ：算鸟算鸟
偷看台首洗碗 ：勺萝卜！前天搬家的货车还被勺萝卜别了，司机破口大骂无人在听
薛定谔的半马人_ ：我上次回家就看见有个萝卜实线掉头，周围一堆车从它身边擦过还都不减速
跑跑跑啊跑不动 ：哈哈哈哈哈哈哈
偏安一隅隐乔渊：蒜鸟，蒜鸟
我们藏剑好像真的完蛋了：哈哈哈哈
大漠沙如雪sandi：无人驾驶你都敢别啊，小心ai怒了。。
怀泽怎么没有用 ：得让它来川A试试
兔尾猫：嗯？饼叔老家在武汉？",1
"感受了一把萝卜快跑，无人驾驶出租车，在武汉这个驾驶风格彪悍的地区搞无人驾驶，有魄力
讲真效率不错，但这个刹车油门的控制，还是太猛，没有华为理想那般丝滑。
在还有人唱衰驾驶辅助的时候，真正的无人驾驶已经实现商业化了，好神奇","大邪痞 ：在武汉坐过一次，网约车司机朝窗户上吐口水
王小王的军小军 ：不懂就问，既然是无人驾驶了，为啥还要保留方向盘，去掉方向盘不是还能多坐个人吗？
你是单身狗：欢迎闯哥来武汉体验无人驾驶，萝卜快跑的两座MPV车型体验下来算是很不错了，后备箱空间也大～
云云芸：世界的巨大差异化
Y车评_李扬：这还是第二版车型了，所以去年第一版车型就是我今天吃饭跟你说的，内裤湿了...
Noy-Iris ：上个月自驾去武汉，司机的彪悍程度连兰州的一根毛都比不上
热血中年嘻嘻又哈哈：告诉你，这个苕萝卜最近升级了，TMD会别车了。
信通小熊猫9 ：萝卜快跑更准确的说，应该叫远程有人驾驶。
那日苏酮学 ：这车能做5个乘客吗？",1
萝卜快跑无人驾驶的算法有问题啊，这么简单的路况都处理不了？ 来自网络,"育同学_学历教育勇哥 ：事发地不是湖北武汉
边角逛逛Bug里：这胖头鱼太惨了
爽朗的快乐远航 ：比亚迪拐弯负主要责任
ou风车 ：好一个GTA截停…
财武汉装修队长：拉及公司的东西，谁买谁当小白鼠。软件出bug太正常了，车企承担责任之前，我是不敢用智驾了
浓缩白咖啡 ：迪要负主责
将-族 ：匆忙推出这种资本游戏，必然，一地鸡毛！",1
萝卜快跑无人驾驶出租车 在武汉，坐无人驾驶出租车是种什么体验？ L麻醉医生凌楚眠的微博,"小囡叮叮：下次来武汉出差，感觉可以试试
捉马：如果是我一个人坐我会有点害怕
闻子闻 ：想问这样的车真的可以上常规交通路段吗？交警是允许的吗？
朵朵姐姐家 ：你好萝卜
向左还是向右_呢 ：好奇什么感受啊 无司机车
沫沫江湖88：有意思
最后一支Dopamine ：哈哈 现在喊司机不喊司机了 喊萝卜
幸运小滴夺 ：嗓音好听，多说
李梁：还是有点怕",1
"我们打了萝卜快跑，佩服它的勇气，竟然在水乡片试运营

在华南mall的掉头路口卡了得有5分钟

肉妈说先不要上车，太羞耻了，她不知道在那也不能上车，萝卜得到停车点才能上

路人（图2）都拿出手机拍了，好像在说，你看这车被卡在这了，所以我说佩服它的勇气，谁曾想路口竟然有个锥桶，它在","Agoer冲冲 ：一直在华南mall周边，天天上班看到
周丶晏杨 ：沙田有没有？好想打一台玩玩
拆那奥拓：什麼時候來？帶你去坐waymo
北山北峰 ：哈哈哈
首席线索官：改天我也试试看。
YR_AMOY ：如果乘客受不了了自己坐到驾驶座上开会如何？
billy电车日记：这个车难道不是有人在远程遥控吗
Navis-慢点评测：广东也有了？
开电车的昌老司：哈哈哈",1
给人笑瘸了 萝卜快跑 不止车跑人也得跑萝卜快跑 L漂亮小姐姐一枚的微博,"茉莉JCT ：我之前也对着它骂了一路 气死了 本来就急我那边又比较偏 又是第一次打到它 我都不知道本来就勾选了萝卜车 取消了三次还是它 无可奈何赶不上了就上了 看到前面老远在闪我跑上去 太气人了
Bai_729 ：@薄荷味的小蓝莓
还会幻想的猫 ：司机情绪平稳到都看不到人影了
拖西坝 ：看的出来司机情绪很稳定
fly0_0 ：一听就知道是河马的声音
拙慕鸟_：这乘客是什么口音求科普😲
至少我们直线曾经交叉过-：哈哈哈哈哈哈哈哈",1
